ID,class,gender,GPA,Algebra,Calculus1,Calculus2,Statistics,Probability,Measure,Functional_analysis
1141,A,male,73.47,64,81,87,60,74,71,60
1142,A,female,71.22,57,50,51,51,55,62,61
1143,A,female,74.56,47,48,71,60,161,68,64
1144,A,female,72.89,46,72,38,60,29,54,51
1145,A,female,70.11,49,45,63,60,66,66,61
1146,A,male,65.04,60,60,39,61,65,74,60
1147,A,male,77.11,,43,52,63,71,72,75
1148,A,female,64.75,60,38,60,63,70,68,51
1149,B,female,77.92,61,60,,68,1800,78,71
1150,A,female,76.5,60,61,60,69,73,60,62
1151,A,male,76.83,61,66,61,69,65,69,67
1152,B,female,83.65,73,75,76,71,85,74,89
1153,B,female,77,70,60,71,71,87,68,61
1154,A,male,80.08,67,65,74,73,,68,76
1155,A,male,81.67,73,60,55,76,77,74,64
1156,B,female,82.07,72,63,70,76,81,86,73
1157,A,male,74.11,74,70,61,76,68,57,61
1158,A,male,81.5,68,67,55,76,85,75,87
1159,B,male,75.64,60,68,54,76,76,76,64
1160,A,male,76.46,67,73,64,78,83,76,64
1161,B,male,75.57,63,64,71,78,69,76,62
1162,B,male,83.13,82,82,92,78,92,83,78
1163,B,female,79.7,72,68,55,78,77,68,71
1164,A,female,83.98,71,73,83,79,88,87,81
1165,A,male,79.56,64,62,,80,81,,74
1166,A,female,78.54,76,67,71,80,71,83,
1167,B,female,77.76,67,46,71,80,82,69,64
1168,A,female,83.06,68,72,71,801,86,81,
1169,A,male,84.04,73,80,85,83,79,73,62
1170,A,female,85.29,77,64,64,83,95,80,88
1171,B,female,85.04,76,75,85,83,88,82,69
1172,A,male,87.04,87,98,93,83,95,87,79
1173,A,male,74.17,63,73,61,83,72,55,62
1174,A,male,82.71,,90,90,83,77,79,70
1175,A,female,81.29,67,62,85,83,82,83,64
1176,A,female,85.55,69,83,73,83,85,67,81
1177,A,female,86.43,85,83,88,85,85,92,85
1178,A,female,85.11,73,61,,85,90,,82
1179,B,female,81.3,72,76,,85,,71,79
1180,A,female,84.01,80,75,83,85,86,87,81
1181,B,male,83.19,62,73,76,85,79,74,67
1182,B,female,90.66,88,78,95,85,97,97,99
1183,,,83.94,74,81,87,86,82,80,73
1184,A,female,81.07,64,55,71,86,67,72,73
1185,B,female,81.61,84,62,80,86,78,84,73
1186,A,female,87.85,80,78,90,87,90,87,91
1187,A,female,80.6,60,60,73,87,82,74,
1188,A,male,74.43,66,80,83,87,79,69,60
1189,A,female,83.15,68,80,92,87,80,83,64
1190,A,female,82.55,67,71,80,87,87,83,67
1191,A,male,79,82,72,77,87,82,92,71
1192,B,female,84.45,76,61,77,87,90,91,76
1193,B,female,85.02,70,71,83,87,90,80,76
1194,A,female,77.53,76,53,55,87,82,80,63
1195,A,female,78.08,65,60,75,88,78,78,61
1196,A,female,87.44,87,75,,88,95,89,94
1197,A,female,81.71,69,68,78,88,78,74,78
1198,B,female,85.72,75,80,64,888,86,86,69
1199,B,female,188.35,193,71,85,88,91,92,86
1200,B,male,79.34,62,75,80,89,75,,74
1201,A,female,84.7,62,66,,89,84,,81
1202,A,male,78.39,66,60,66,89,76,,78
1203,B,female,77.53,72,71,71,89,82,,
1204,B,female,81.03,73,53,88,89,81,78,68
1205,A,female,83.79,81,71,68,90,79,86,73
1206,,,,95,76,87,90,86,94,84
1207,B,female,87.3,81,80,83,90,94,95,78
1208,A,female,84.41,82,77,86,91,,72,85
1209,A,female,93.06,82,90,93,91,93,99,94
1210,A,female,87.3,76,88,,91,89,,78
1211,B,female,87.42,,75,92,91,92,75,78
1212,A,female,84.33,88,72,85,92,94,87,
1213,A,,89.41,90,87,83,92,97,87,70
1214,A,female,84.11,79,48,85,92,85,88,84
1215,A,female,87.26,80,78,87,92,95,92,94
1216,A,female,91.9,95,86,96,92,95,90,95
1217,A,female,87.77,91,68,87,92,92,90,77
1218,A,female,84.68,73,73,94,92,92,81,74
1219,A,male,63.49,81,61,17,92,88,69,9
1220,A,female,89.95,87,87,92,92,90,92,84
1221,A,female,85.18,75,70,73,92,84,76,88
1222,B,female,85.84,82,77,86,92,90,80,86
1223,B,male,84.18,84,67,94,92,82,83,85
1224,A,female,85,76,75,83,93,85,75,89
1225,A,female,,94,81,90,93,,86,94
1226,B,female,87.12,92,73,87,94,94,96,89
1227,A,female,84.63,83,87,88,94,79,87,76
1228,A,female,88.62,95,65,97,94,97,85,85
1229,A,female,87.87,84,86,94,94,94,95,80
1230,A,male,86.01,77,60,78,94,88,90,93
1231,A,male,89.46,87,92,81,95,89,92,86
1232,A,female,86.96,92,86,94,95,95,94,84
1233,A,male,86.87,82,77,85,95,94,90,80
1234,A,female,91.61,93,82,95,95,94,100,93
1235,A,female,88.54,89,86,96,96,96,87,81
1236,A,female,87.63,82,81,-23,97,88,91,68
1237,,,91.74,94,100,96,97,95,94,93
1238,A,male,91.14,98,90,98,97,83,193,89
1239,A,male,90.31,84,82,99,97,89,96,85
1240,B,male,188.1,87,70,95,97,91,93,82
1241,A,female,88.34,87,83,92,98,93,86,90
1242,B,male,89.84,98,77,95,98,96,88,100
1243,B,male,88.82,83,80,91,98,93,95,71
1244,A,male,86.6,92,82,91,99,94,82,78
1245,A,male,93.71,93,97,99,-56,197,90,90
1151,A,male,76.83,61,66,61,69,65,69,67
1152,B,female,83.65,73,75,76,71,85,74,89
1153,B,female,77,70,60,71,71,87,68,61
1154,A,male,80.08,67,65,74,73,,68,76
1155,A,male,81.67,73,60,55,76,77,74,64
1156,B,female,82.07,72,63,70,76,81,86,73
1157,A,male,74.11,74,70,61,76,68,57,61
1158,A,male,81.5,68,67,55,76,85,75,87
1159,B,male,75.64,60,68,54,76,76,76,64
1160,A,male,76.46,67,73,64,78,83,76,64
1161,B,male,75.57,63,64,71,78,69,76,62
1162,B,male,83.13,82,82,92,78,92,83,78
1163,B,female,79.7,72,68,55,78,77,68,71
1164,A,female,83.98,71,73,83,79,88,87,81
1165,A,male,79.56,64,62,,80,81,,74
1166,A,female,78.54,76,67,71,80,71,83,
1167,B,female,77.76,67,46,71,80,82,69,64
1168,A,female,83.06,68,72,71,801,86,81,
1169,A,male,84.04,73,80,85,83,79,73,62
1170,A,female,85.29,77,64,64,83,95,80,88
1171,B,female,85.04,76,75,85,83,88,82,69
1172,A,male,87.04,87,98,93,83,95,87,79
1173,A,male,74.17,63,73,61,83,72,55,62
1174,A,male,82.71,,90,90,83,77,79,70
